treatment,F_ppm,D_ppm,aquarium,t_exp_G42,t_exp_G46,wetmass_G42_mg,wetmass_G46_mg,drymass_G42_mg,drymass_G46_mg
G. 30D,0,30.0,34,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,11,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,23,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
H. 100D,0,100.0,35,,,,,,
I. 0.3D+10F,10,0.3,2,9.0,,296,,16.576000000000015,
I. 0.3D+10F,10,0.3,2,9.0,17.0,179,116,10.024000000000008,18.212000000000003
I. 0.3D+10F,10,0.3,2,9.0,,190,,10.64000000000001,
I. 0.3D+10F,10,0.3,2,11.0,,217,,12.152000000000012,
I. 0.3D+10F,10,0.3,2,12.0,20.0,164,99,9.184000000000008,15.543000000000003
I. 0.3D+10F,10,0.3,2,12.0,20.0,287,188,16.072000000000013,29.516000000000005
I. 0.3D+10F,10,0.3,2,13.0,20.0,242,156,13.552000000000012,24.492000000000004
I. 0.3D+10F,10,0.3,2,14.0,,268,,15.008000000000013,
I. 0.3D+10F,10,0.3,2,15.0,,250,,14.000000000000012,
I. 0.3D+10F,10,0.3,2,18.0,,192,,10.75200000000001,
I. 0.3D+10F,10,0.3,14,12.0,18.0,204,135,11.42400000000001,21.195000000000004
I. 0.3D+10F,10,0.3,14,12.0,18.0,304,215,17.024000000000015,33.75500000000001
I. 0.3D+10F,10,0.3,14,13.0,,244,,13.664000000000012,
I. 0.3D+10F,10,0.3,14,13.0,,227,,12.71200000000001,
I. 0.3D+10F,10,0.3,14,14.0,22.0,260,169,14.560000000000013,26.533000000000005
I. 0.3D+10F,10,0.3,14,15.0,22.0,243,164,13.608000000000011,25.748000000000005
I. 0.3D+10F,10,0.3,14,15.0,22.0,206,142,11.53600000000001,22.294000000000004
I. 0.3D+10F,10,0.3,14,15.0,22.0,215,138,12.04000000000001,21.666000000000004
I. 0.3D+10F,10,0.3,14,17.0,24.0,346,241,19.37600000000002,37.837
I. 0.3D+10F,10,0.3,14,17.0,24.0,282,192,15.792000000000014,30.144000000000005
I. 0.3D+10F,10,0.3,26,11.0,18.0,261,141,14.616000000000014,22.137000000000004
I. 0.3D+10F,10,0.3,26,11.0,18.0,295,163,16.520000000000014,25.591000000000005
I. 0.3D+10F,10,0.3,26,11.0,,260,,14.560000000000013,
I. 0.3D+10F,10,0.3,26,11.0,18.0,304,,17.024000000000015,
I. 0.3D+10F,10,0.3,26,12.0,20.0,209,,11.704000000000011,
I. 0.3D+10F,10,0.3,26,12.0,18.0,224,,12.544000000000011,
I. 0.3D+10F,10,0.3,26,12.0,18.0,188,,10.52800000000001,
I. 0.3D+10F,10,0.3,26,15.0,,,,,
I. 0.3D+10F,10,0.3,26,15.0,22.0,250,188,14.000000000000012,29.516000000000005
I. 0.3D+10F,10,0.3,26,15.0,24.0,192,146,10.75200000000001,22.922000000000004
J. 0.3D+100F,100,0.3,3,11.0,18.0,172,94,9.632000000000009,14.758000000000003
J. 0.3D+100F,100,0.3,3,12.0,20.0,183,118,10.248000000000008,18.526000000000003
J. 0.3D+100F,100,0.3,3,12.0,,245,,13.720000000000013,
J. 0.3D+100F,100,0.3,3,12.0,,207,,11.59200000000001,
J. 0.3D+100F,100,0.3,3,12.0,18.0,245,153,13.720000000000013,24.021000000000004
J. 0.3D+100F,100,0.3,3,13.0,,186,,10.41600000000001,
J. 0.3D+100F,100,0.3,3,13.0,,179,,10.024000000000008,
J. 0.3D+100F,100,0.3,3,13.0,,201,,11.25600000000001,
J. 0.3D+100F,100,0.3,3,14.0,,186,,10.41600000000001,
J. 0.3D+100F,100,0.3,3,19.0,27.0,254,151,14.224000000000013,23.707000000000004
J. 0.3D+100F,100,0.3,15,9.0,17.0,192,125,10.75200000000001,19.625000000000004
J. 0.3D+100F,100,0.3,15,9.0,,224,,12.544000000000011,
J. 0.3D+100F,100,0.3,15,11.0,,280,,15.680000000000014,
J. 0.3D+100F,100,0.3,15,11.0,18.0,294,170,16.464000000000013,26.690000000000005
J. 0.3D+100F,100,0.3,15,11.0,18.0,251,150,14.056000000000012,23.550000000000004
J. 0.3D+100F,100,0.3,15,11.0,,279,,15.624000000000013,
J. 0.3D+100F,100,0.3,15,15.0,22.0,184,112,10.30400000000001,17.584000000000003
J. 0.3D+100F,100,0.3,15,15.0,22.0,315,195,17.640000000000015,30.615000000000006
J. 0.3D+100F,100,0.3,15,18.0,27.0,174,98,9.744000000000009,15.386000000000003
J. 0.3D+100F,100,0.3,15,18.0,,275,,15.400000000000013,
J. 0.3D+100F,100,0.3,27,13.0,,324,,18.144000000000016,
J. 0.3D+100F,100,0.3,27,13.0,,334,,18.704000000000015,
J. 0.3D+100F,100,0.3,27,14.0,,237,,13.272000000000013,
J. 0.3D+100F,100,0.3,27,14.0,,312,,17.472000000000016,
J. 0.3D+100F,100,0.3,27,14.0,,202,,11.31200000000001,
J. 0.3D+100F,100,0.3,27,15.0,22.0,243,135,13.608000000000011,21.195000000000004
J. 0.3D+100F,100,0.3,27,15.0,,248,,13.888000000000012,
J. 0.3D+100F,100,0.3,27,15.0,24.0,205,120,11.480000000000011,18.840000000000003
J. 0.3D+100F,100,0.3,27,15.0,24.0,193,110,10.80800000000001,17.270000000000003
J. 0.3D+100F,100,0.3,27,18.0,,348,,19.488000000000017,
K. 30D+10F,10,30.0,4,32.0,,169,,9.46400000000001,
K. 30D+10F,10,30.0,4,39.0,,178,,9.968000000000009,
K. 30D+10F,10,30.0,4,41.0,,224,,12.544000000000011,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,4,,,,,,
K. 30D+10F,10,30.0,16,21.0,,169,,9.46400000000001,
K. 30D+10F,10,30.0,16,32.0,,159,,8.904000000000007,
K. 30D+10F,10,30.0,16,43.0,,179,,10.024000000000008,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,16,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
K. 30D+10F,10,30.0,28,,,,,,
