replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
7,0.0,uninfected,1,38.0,43.0,5.0,262.17103463011415,125.66566252026622,15
8,0.0,uninfected,1,41.0,46.0,5.0,261.0789435558682,147.27519744573442,15
9,0.0,uninfected,1,39.0,44.0,5.0,261.5812325389773,130.1277742297111,15
10,0.0,uninfected,1,34.0,39.0,5.0,267.5588506890975,146.32306031477353,15
1,0.0,uninfected,1,38.0,43.0,5.0,263.80483050595757,146.7865839665321,16
2,0.0,uninfected,1,53.0,59.0,6.0,252.91509484499653,124.23863936573963,16
3,0.0,uninfected,1,44.0,50.0,6.0,258.9718952005538,117.81421240577674,16
4,0.0,uninfected,1,39.0,44.0,5.0,263.1154220257454,153.3762005692474,16
5,0.0,uninfected,1,36.0,42.0,6.0,265.61795861386315,121.90931146956763,16
6,0.0,uninfected,1,42.0,47.0,5.0,260.0621233190099,145.39872671722824,16
7,0.0,uninfected,1,38.0,43.0,5.0,264.0377459258514,157.92309904182306,16
8,0.0,uninfected,1,41.0,46.0,5.0,260.7573970800024,142.510479596776,16
9,0.0,uninfected,1,35.0,40.0,5.0,266.6426715302911,154.61697040011717,16
10,0.0,uninfected,1,36.0,41.0,5.0,264.77519159800767,129.67579897175136,16
1,0.0,uninfected,1,41.0,47.0,6.0,261.5502936642036,119.56211935975418,17
2,0.0,uninfected,1,53.0,59.0,6.0,250.37348489693102,102.60692120162332,17
3,0.0,uninfected,1,37.0,42.0,5.0,264.8272739727327,150.55420051218084,17
4,0.0,uninfected,1,33.0,38.0,5.0,268.52151299118634,149.03691864519269,17
5,0.0,uninfected,1,43.0,49.0,6.0,260.0515482274683,126.9606652373312,17
6,0.0,uninfected,1,37.0,42.0,5.0,264.8872723625532,157.16167523035836,17
7,0.0,uninfected,1,36.0,41.0,5.0,265.72242551581905,149.4385922394018,17
8,0.0,uninfected,1,39.0,45.0,6.0,263.2095333409261,121.81329065342864,17
9,0.0,uninfected,1,43.0,48.0,5.0,259.08640414158356,144.56994973590452,17
10,0.0,uninfected,1,39.0,45.0,6.0,263.20108375043094,121.90586958870584,17
1,0.0,uninfected,1,41.0,47.0,6.0,261.587935324328,121.9982345164095,18
2,0.0,uninfected,1,38.0,43.0,5.0,263.39040104110734,139.0180818783081,18
3,0.0,uninfected,1,37.0,42.0,5.0,263.45112012786973,127.30741789049607,18
4,0.0,uninfected,1,40.0,45.0,5.0,262.02352149842085,147.92071294208225,18
5,0.0,uninfected,1,39.0,44.0,5.0,262.19507819109606,136.39817245875145,18
6,0.0,uninfected,1,41.0,46.0,5.0,259.08696128639485,126.95414516008847,18
7,0.0,uninfected,1,42.0,47.0,5.0,258.77928715146396,132.49081089721352,18
8,0.0,uninfected,1,40.0,45.0,5.0,260.992351970634,134.3740433977001,18
9,0.0,uninfected,1,53.0,59.0,6.0,251.78012811008506,112.62140844444963,18
10,0.0,uninfected,1,43.0,49.0,6.0,259.82741679605243,118.0539530120058,18
1,0.0,uninfected,1,43.0,49.0,6.0,259.9424605387709,121.51574921601987,19
2,0.0,uninfected,1,38.0,43.0,5.0,262.71515462664604,130.78365603051202,19
3,0.0,uninfected,1,43.0,49.0,6.0,259.5075112362214,111.55348692496884,19
4,0.0,uninfected,1,39.0,44.0,5.0,261.7009098083773,131.22233712230556,19
5,0.0,uninfected,1,37.0,42.0,5.0,263.9749465851382,133.05837371006265,19
6,0.0,uninfected,1,41.0,46.0,5.0,260.7813893816749,142.8019856502345,19
